UI,Validation Type,Status,Section,Sub-Section,Field Type,Address,Validation Type,Validation Description,Comments,Status,Policy Analyst Recommendation,Approval/Comment,Dev/QA,Dev Comment,QA Comment,BA Comment
300,Interdependant-Histori,Active,Business Case Detail,Defining Metrics,Metric ID,$C$259,Error,The agencyPerformanceMetricId XXX is already in use for this investment.,,Deployed,,approved - Kelly ,N/A,,,
301,Interdependant-Histori,Active,Business Case Detail,Defining Metrics,Metric ID,$C$259,Error,The agencyPerformanceMetricId XXX is deactivated and can not be used for this investment.,,Deployed,,approved - Kelly ,N/A,,,
304,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,Metric ID,$C$259,Error,Performance Metric [PerformanceGoalAndMeasureIdentifier] is already marked as delete and is not allowed to update,,Deployed,,approved - Kelly ,N/A,,,
308,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,Metric ID,$C$259,Error,Performance target for metric id [PerformanceGoalAndMeasureIdentifier] and fiscal year [performanceFiscalYear] is already marked as delete and cannot be updated,,Deployed,,approved - Kelly ,N/A,,,
316,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,Metric ID,$C$259,Error,You must provide either the performanceMetricActualId or the agencyPerformanceMetricActualId,,Deployed,,approved - Kelly ,N/A,,,
334,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,Metric ID,$C$259,Error,You must provide either the performanceMetricId or the agencyPerformanceMetricId,,Deployed,,approved - Kelly ,N/A,,,
288,Interdependant-Histori,Active,Business Case Detail,Investment Risk,Mitigation Plan,$C$211,Error,Investment risk mitigation plan is required.,,Deployed,,approved - Kelly ,N/A,,,
289,Interdependant-Histori,Active,Business Case Detail,Investment Risk,Mitigation Plan,$C$211,Error,Investment risk mitigation Plan is required and should be a minimum of X characters.,,Deployed,,approved - Kelly ,N/A,,,
345,Interdependant-Histori,Active,Business Case Detail,Project Plan,performanceMetricObjectiveOrGoal,$C$263,Error,"The Objectives and expected Outcomes appears it may be cutoff.  Please ensure the description ends in a punctuation character (period, question mark, or exclamation point)",,Deployed,,approved - Kelly ,N/A,,,
346,Interdependant-Histori,Active,Business Case Detail,Project Plan,performanceMetricObjectiveOrGoal,$C$263,Error,The Objectives and expected Outcomes is required and should be minimum 1.,,Deployed,,approved - Kelly ,N/A,,,
362,Interdependant-Histori,Active,Business Case Detail,Project Plan ,performanceMetricObjectiveOrGoal,$C$263,Error,"The Objectives and expected Outcomes appears it may be cutoff.  Please ensure the description ends in a punctuation character (period, question mark, or exclamation point)",,Deployed,,approved - Kelly ,N/A,,,
372,Interdependant-Histori,Active,Business Case Detail,Project Plan,performanceMetricObjectiveOrGoal,$C$263,Error,The project objective is required and cannot be empty.,,Deployed,,approved - Kelly ,N/A,,,
475,Interdependant-Histori,new,Business Case Detail,OMB Control Number,OMB Control Number,#N/A,Error,"OMB ControlNumber is optional but if submitted must be entered in the following format:XXXX-XXXX",,42961,,approved - Kelly ,Ready for review,,Verified,Edited the Validation to be more clear 
322,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,Operational Data,#N/A,Error,"If an investment has performance metrics, at least 3 metrics should have performanceMetricCategory as Ò2Ó for Strategic and Business Results and at least one of them must have a performancePeriodicity of ÒMonthlyÓ.",,Deployed,,approved - Kelly ,In progress,,Verified,
322.1,Interdependant-Histori,new,Business Case Detail,Defining Metrics ,Operational Data,#N/A,Error,"If an investment has performance metrics ("" . $upi . ""), there must be at least 5 performance metrics reported.",,Deployed,,,Done,I don't know what number to assign to this. Highlighted by Chris to show a new row.,Verified,
323,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,Operational Data,#N/A,Error,"If an investment has performance metrics [upi], at least 1 metric should have a valid Performance Metric Objective or Goal value and belong to the performanceMetricCategory.",See dev comment for changes,Deployed,,approved - Kelly ,N/A,"If an investment has performance metrics [upi] for investments listed in Part 1 of the Agency IT Investment Portfolio Summary, at least 1 metric should have a valid Performance Metric Objective or Goal value and belong to the performanceMetricCategory Ò2Ó for Strategic and Business Results.",Verified,
384,Interdependant-Histori,Active,Business Case Detail,Project Plan,SDLCMethodology,$C$221,Error,A Revise Investment operation is required to update otherSDLC.,,Deployed,,approved - Kelly ,N/A,,,
386,Interdependant-Histori,Inactive,Business Case Detail,Project Plan,otherSDLC,,Error,otherSDLC field is blank or not provided when SDLCMethodology = 6,6 is no longer a valid option for the SDLC methodology field and otherSDLC no longer exists. Remove validation.,Deployed,Remove,approved - Kelly ,Ready for review,Validation was removed in 06B Ñ see https://git.io/vQz8N,Verified,
387,Interdependant-Histori,Inactive,Business Case Detail,Project Plan,otherSDLC,,Error,otherSLDC can only be provided if SDLCMethodology = 6.,6 is no longer a valid option for the SDLC methodology field and otherSDLC no longer exists. Remove validation.,Deployed,Remove,approved - Kelly ,Ready for review,Validation was removed in 06B Ñ see https://git.io/vQz8N,Verified,
389,Interdependant-Histori,Inactive,Business Case Detail,Project Plan,otherSDLC,,Error,otherSDLC field is blank or not provided when SDLCMethodology = 6,6 is no longer a valid option for the SDLC methodology field and otherSDLC no longer exists. Remove validation.,Deployed,Remove,approved - Kelly ,Ready for review,Validation was removed in 06B Ñ see https://git.io/vQz8N,Verified,
258,Interdependant-Histori,Active,Business Case Detail,Defining Metrics,Performance Measurement Category Mapping,$C$267,Error,"""Investment must provide Project or Operational Metric data when submitting Major IT Business Case Detail.""",,Deployed,,approved - Kelly ,N/A,,,
306,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,targetPY,$C$260,Error,Performance metric target for year [performanceFiscalYear] does not exist and cannot be deactivated.,,Deployed,,approved - Kelly ,N/A,,,
307,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,targetPY,$C$260,Error,Performance metric target for year [performanceFiscalYear] does not exist.,,Deployed,,approved - Kelly ,N/A,,,
314,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,performanceMetricActualId,$C$273,Error,The provided performanceMetricActualId: [performanceMetricActualId] and agencyPerformanceMetricActualId: [agencyPerformanceMetricActualId] do not refer to the same Performance Metric Actual  information.,,Deployed,,approved - Kelly ,N/A,,,
315,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,performanceMetricActualId,$C$273,Error,The provided performanceMetricActualId: [performanceMetricActualId] does not exist.,,Deployed,,approved - Kelly ,N/A,,,
318,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,performanceMetricActualId,$C$273,Error,You may not specify a performanceMetricActualId when adding an Actual.  The performanceMetricActualId will be assigned by the system during the operation.,,Deployed,,approved - Kelly ,N/A,,,
303,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,performanceMetricBaselineCapability,$C$262,Error,A Revise or Annual Investment operation is required to update the performanceMetricBaselineCapability for performanceMetricId [performanceMetricId] after it is provided for the first time.,,Deployed,,approved - Kelly ,N/A,,,
313,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,performanceMetricCategory,$C$267,Error,A Revise or Annual Investment operation is required to update the performanceMetricCategory field.,,Deployed,,approved - Kelly ,N/A,,,
319,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,performanceMetricCategory,$C$267,Error,A Revise or Annual Investment operation is required to update the performanceMetricCategory field.,,Deployed,,approved - Kelly ,N/A,,,
324,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,performanceMetricCategory,$C$267,Error,A Revise or Annual Investment operation is required to update the performanceMetricCategory field.,,Deployed,,approved - Kelly ,N/A,,,
337,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,targetCY,$C$261,Error,"Once a CY target has been provided for a metric, it cannot be updated without using a revise operation",,Deployed,,approved - Kelly ,N/A,,,
338,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,targetCY,$C$261,Error,performance Metric [budget year - 1] Target value is required and cannot be empty,,Deployed,,approved - Kelly ,N/A,,,
339,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,targetCY,$C$261,Error,Target CY value must be provided for this metric,,Deployed,,approved - Kelly ,N/A,,,
340,Interdependant-Histori,Active,Business Case Detail,Defining Metrics ,targetCY,$C$261,Error,performance Metric [pyYear] Target value is required and cannot be empty,,Deployed,,approved - Kelly ,N/A,,,
